Year,GDP,Consumption,Public_Investment,Private_Investment,Debt,Taxes,Wages,Private_Capital,Public_Capital,Labour,DebttoGDP,Interest
1995,439323.5068984353,239904.49239632444,15115.336885915336,94815.55489454935,320434.8068806894,201063.58434457393,210331.5925520899,923133.529298453,275784.99305026606,1769.0947368421055,0.7293823386390497,-0.02385147038894153
1996,447075.2825860032,245674.97258158494,15124.46621258829,96008.01939629907,328058.9561349108,206561.33029587404,213951.03182314217,942376.5731214826,279607.65974542516,1769.4578947368423,0.7337890706847624,-0.02385147038894153
1997,458381.3549915952,250420.0821988882,14792.872328315625,98019.82425492727,331445.86139734345,212288.65692862435,217871.42915301793,960817.1317717478,283033.1944417862,1769.1894736842105,0.723078846440909,-0.02385147038894153
1998,471863.9376814393,257053.26498502106,15207.234027446379,102751.21857257829,338401.6838146078,217211.75638173835,222161.21230698898,981018.4130632164,286172.42781036923,1764.5473684210526,0.7171594537980281,-0.02385147038894153
1999,485933.9153237829,265417.0677005723,16372.171177792881,108285.25954986314,344442.1321811525,226267.3495175588,229619.147640606,1.0052537591435559e6,289896.7404051034,1766.2842105263155,0.7088250507307091,-0.02385147038894153
2000,468418.27021900396,255025.12789474655,15568.188255650415,106393.37815976472,316953.5461980741,216457.23133075677,222366.51944280957,948980.7798247931,275201.45288815134,1762.5142857142855,0.6766464212633847,-0.026800080450522956
2001,478536.7890373297,259442.2230958582,16092.884129850723,106840.32814304021,320068.8161547906,217767.40491183152,226399.6915341321,974876.6535707468,278663.76134773245,1749.823809523809,0.6688489233997486,-0.02385147038894153
2002,483437.3989551142,260988.69598069278,16111.31595278141,104631.20641734032,322159.51671135216,217867.54043827657,229037.26496600333,999687.6625743607,282509.317952323,1738.0523809523809,0.6663934511638058,-0.02385147038894153
2003,487318.84588450537,264532.0943864559,16988.087750969426,104744.01229064057,329504.4774305957,219752.48135640888,230679.96771925272,1.0215808033440073e6,286099.4864519023,1724.452380952381,0.6761578794116416,-0.02385147038894153
2004,499477.8315242077,269894.5306109353,16812.39381795605,107822.65582633462,338448.0345093556,223871.62613680804,233364.27134613539,1.0443534734802697e6,291081.160100868,1726.4714285714285,0.6776037156174616,-0.02385147038894153
2005,508919.4701852243,276051.7506699598,17190.7551254765,111407.70637594389,346406.84576564643,229066.9278103301,236802.02782633665,1.0648240321061003e6,294908.28274319984,1721.1047619047615,0.6806712379064012,-0.02385147038894153
2006,526438.1564261721,282789.64077710797,18260.973795186288,118694.66415734512,347580.4239779176,238551.93603109257,242460.22512878044,1.086037062536898e6,298637.53485746495,1714.3238095238094,0.6602492994381998,-0.02385147038894153
2007,542085.2674198431,287907.2355900895,18845.66689625328,125274.60409385538,344425.0736409185,246603.68001268557,247809.65810967787,1.1111740485099144e6,302980.7606033222,1715.3523809523806,0.6353706590851924,-0.02385147038894153
2008,544823.634694812,290779.04194850475,19533.05688730095,124693.58653296636,363584.4084352825,246242.8484395292,254002.0635583056,1.1412336506823446e6,307842.88310433144,1715.0476190476195,0.6673433112697977,-0.02132176898405369
2009,520712.66414865124,282908.1940231784,20277.85672022951,109338.69204447826,399981.0727060227,235165.20312395904,250458.6366396439,1.1672175640428541e6,312681.3136165822,1691.647619047619,0.7681416263612085,-0.0032345234195872985
2010,532083.2347656313,287891.08897858346,19643.952630807184,109295.6697002055,436249.34388057655,239178.4638004485,252555.54315959738,1.176899828316291e6,318113.9078086431,1694.6333333333334,0.8198892868194446,-0.02385147038894153
2011,541882.8002735722,291836.44491489773,18426.736637407117,111618.49486377498,454447.2361018648,246536.6049141702,256049.34235460186,1.1858929331690993e6,322495.3697095223,1693.2619047619048,0.8386448801704628,-0.02045470250846515
2012,537190.7167480453,290578.70544664224,17512.684821407,108234.04406698133,474226.7230596038,250020.6862465553,255993.1706850179,1.1947907893759583e6,324824.00621287513,1681.1190476190477,0.882790242412225,-0.02150537634408589
2013,536789.7734375785,288490.1179074203,17018.12018056964,105007.12896349879,485042.1706741859,253502.53402161758,255871.66681671067,1.2021174896368575e6,326228.8393795688,1674.4666666666665,0.9035980092690605,-0.013351900393185012
2014,545091.8182914294,290089.4672030027,16708.176716089605,106725.77473235197,494760.78174382163,257051.72975237123,259128.88081654633,1.206895661436366e6,327133.5709365266,1671.5714285714287,0.9076650302597301,-0.005605619811253959
2015,557596.7047619048,293469.061904762,17303.704761904763,111531.55714285716,494849.29047619045,260606.06190476194,262855.8666666667,1.2146220923827253e6,328193.0442205576,1668.1666666666663,0.8874681041874025,-0.0016867813361209905
2016,567987.9092722771,297975.02568218485,16538.329897483232,115096.85112362269,497061.3952130096,264166.184636684,268878.45475653355,1.2232568163743664e6,329179.0292787774,1677.6904761904761,0.8751267185420537,-0.004537457171960302
2017,583374.3195650126,304769.6580769357,16957.670878284713,120235.2755509312,496306.7957118033,270983.11776984937,276327.02925279737,1.2340916530524222e6,328964.72002033994,1670.2809523809524,0.8507518741686636,-0.02385147038894153
2018,594207.6640419075,310258.0400991242,17877.3796406484,124656.08453054527,494693.62015110475,277042.8766516755,283678.92677814624,1.2484500457697834e6,329165.8674661077,1670.7380952380956,0.8325264887802182,-0.02385147038894153
2019,666321.0075562086,345125.03296076664,20768.094569198813,147207.02998945033,541973.2106499391,310165.99881232576,319169.2624235835,1.3990142415804644e6,365147.25788163365,1644.9210526315787,0.8133815450869153,-0.018624329393291728
2020,569837.5754083452,285844.23790572997,19311.57985050944,125609.60612288097,533764.234761131,265344.978006602,279122.8171876793,1.1897743336876994e6,321798.0031585767,1574.661904761905,0.9366953984714608,-0.02385147038894153
2021,605833.8579615569,299942.63364123227,20037.80227239591,133174.14004980086,551433.7581875982,283878.4136057176,289702.26032785163,1.263072373972648e6,340719.16337958357,1627.2904761904765,0.9102062404418958,-0.02385147038894153
2022,626996.9892257366,319937.3644069124,20452.50562618385,139650.6749375539,545001.4651460323,291308.3352923889,294561.55920941936,1.3055675498360863e6,351061.5390389931,1642.5666666666664,0.8692250114614448,-0.08901155635286506
2023,629827.1542195191,321688.2540378264,21750.0092449808,140252.88896097685,533875.5686660791,288840.45609234244,297421.553308759,1.3106199919817396e6,351710.91689789784,1643.0714285714287,0.8476540985719437,-0.03692119643370717
2024,635887.8421463432,324142.3947854322,22729.66532171524,136244.52559417085,540978.6303388112,295073.53222145315,305036.4852840581,1.3217964317365396e6,353942.09018365515,1644.1809523809525,0.8507453586670563,-0.0036814034616934332
