Country,Year,GDP,Consumption,Public_Consumption,Public_Investment,Private_Investment,Debt,Taxes,Wages,Private_Capital,Public_Capital,DebttoGDP
Austria,1995,240727.31086377995,127868.93197519695,47937.62535887049,9453.337003972154,61822.20998675947,164189.6409328666,120028.84073360337,123645.99310444276,579631.1428779738,182728.98515149523,0.5202795625913527
Austria,1996,246059.75995447868,132210.033214678,49015.072318014,9128.478608953408,63924.49284759624,165645.9659384139,126450.793314719,123997.53867326549,593724.2209374374,184755.96241872935,0.5087260103934015
Austria,1997,251342.01113412043,132999.3545437431,50035.90350428959,7520.237743054622,64195.46566979533,159716.53712718177,125814.75405427211,124570.50264906006,609605.3860763346,186364.13102862303,0.4725624636488634
Austria,1998,260118.56064162226,136390.74046753664,51713.09397674387,7659.902630061291,66545.78130658118,168520.00375531442,129782.99647268678,128613.21602446318,626842.6958310442,186415.53884849395,0.4830497281319124
Austria,1999,269903.90238715505,139393.7742570046,54337.418257217294,7779.520442341432,67689.53692381307,181051.75713754055,134357.22260619915,133071.4019884098,646935.1769769109,187108.6647427413,0.5046836996250953
Austria,2000,278515.15787265287,144774.46763872865,54398.143291723485,7525.437952375957,71595.2480855974,185596.3495227106,136591.969998951,135877.87160390223,660835.6553950818,186269.85329786912,0.5082064512435572
Austria,2001,282181.18906125386,147629.08080574207,54332.02130122714,6957.886342003036,70341.9001312032,189733.34876900518,144202.4902883898,136163.97828715495,680993.594943655,186158.94160109354,0.5227226538051806
Austria,2002,286371.3740458015,148023.155216285,54672.646310432574,7778.371501272266,67649.74554707379,193129.77099236642,143719.8473282443,137174.55470737914,697074.0983750894,184874.95573413436,0.5300809150558515
Austria,2003,289640.057289311,151757.75164581137,55609.45273631841,7523.744911804613,70075.88321021157,192355.01784009245,144599.10045730943,138504.57309412534,711782.3798160475,184998.565203647,0.5286109298309765
Austria,2004,297071.42063207814,154854.083560781,56869.86698941596,7437.477615442565,70608.73646120215,195805.53531511282,146679.42843734176,139550.95034024527,727581.4033728153,184627.0924510613,0.5336955660785636
Austria,2005,303961.48008961475,158029.67888029676,59512.53884512538,9123.003541230035,70624.17190624171,211033.09966033098,149197.200741972,140446.38770446385,741401.0041220513,183868.05592999756,0.5764016544081372
Austria,2006,313900.8959029262,161212.9510499416,61285.07182568256,9276.431497066775,71665.74204133666,214006.7753396523,151649.80700905347,144255.4798805463,750940.0745313893,184494.99903367413,0.5775848440269133
Austria,2007,325751.38803919987,163451.1098542126,61877.22923135526,9895.651772419285,75376.93488624429,214387.12730714626,157501.29858137202,148157.74589359714,762781.2311154288,185770.9631197476,0.5701587370600854
Austria,2008,330486.7056212347,165287.85613987406,64611.699959233585,10937.514155002944,77776.07917742446,229780.65407437604,161385.8314082529,153503.64632875842,775557.5696971456,187402.49111543238,0.6139874813377733
Austria,2009,318631.0868718348,164218.59869775726,66412.15426567978,10914.686404363069,72213.59007179031,257301.6862374089,156818.85469419556,151647.17012632868,789766.8470589559,190250.1219761958,0.7255183487259239
Austria,2010,324398.03629543824,167624.1381212422,67155.0554360417,10672.18269071653,70917.20447901153,271372.27646312537,158606.76264548514,153228.19791494292,796662.692734446,192778.98924889584,0.7582826419330551
Austria,2011,333893.4936887155,171715.15250013542,67199.73996424508,10177.691099192805,75818.40836448345,278320.49406793434,163137.33138306518,156463.6220813695,799112.954600986,194355.94771327535,0.7693348473554924
Austria,2012,335989.42966909346,172996.83739095367,67576.67735020058,9935.15590176809,77118.84193322438,278654.93600492436,166572.17753061786,159491.01097361662,806377.2838423715,195456.2990894508,0.7814692273462094
Austria,2013,335147.23068575485,172859.05087858427,67782.46170541341,10329.103885804916,78129.93029759172,276264.66046162194,169031.88780833923,161214.67924370803,812778.7023242397,195944.26062629526,0.7899841495281478
Austria,2014,337680.9296330773,172437.01347190543,68056.54722327356,10149.346863204411,77555.82606205056,287737.3950224532,170436.58384394276,162348.22369295923,820338.2169305845,196941.7853849923,0.8330029187779354
Austria,2015,342083.5,172547.0,68856.5,10239.7,78323.3,292873.7,173569.4,163631.4,830234.1569483664,198507.73649796649,0.8561468179552654
Austria,2016,349325.3449884595,175013.1120168934,69783.23429750038,10452.683789225557,81469.33163089919,291404.1153071748,171827.33388989838,166980.2092029662,838780.0055372746,199781.30448650313,0.8493317311682658
Austria,2017,357262.95619017974,179843.7864757606,70709.477861645,11109.252198272508,85192.68928488054,282441.8333203641,175220.70266905296,171159.7346509999,846440.9957347271,200487.31964136066,0.812770523696354
Austria,2018,366139.2580420182,181811.42458607614,71852.98416914274,11292.741881550412,89021.58232141323,273089.6444983711,180828.61210100414,176669.405459114,857192.0444225947,202080.70645825658,0.7806871121347958
Austria,2019,372563.175535721,183419.48179113472,73465.80424057545,11689.074680827027,93439.25356833503,264541.95382819267,184829.8685647573,181399.5593718224,872804.7620914289,204213.80743700574,0.7541682013955787
Austria,2020,349024.37457555573,166294.62401115947,74375.76858836702,11606.280858249364,87724.70311840392,290328.9099352092,171400.52860525303,176278.74749921996,834060.9702801902,192941.40528421607,0.9064117667561793
Austria,2021,366208.56583941076,174262.27587015115,79891.82269740103,13117.39941764552,94718.60379161444,301752.11171109445,184323.8467848804,181572.35709327584,875147.8662988072,200050.2881477559,0.9140436112758366
Austria,2022,385729.17203138146,188878.13084753908,79212.20236562463,13272.905186177062,97252.83686116977,301411.39207910595,191146.93309986097,186626.83902422278,921820.4170682901,208195.88882291105,0.9103545323023474
Austria,2023,382698.46227775107,189746.03555982703,78740.1890116931,14146.403972449145,94478.93640877784,297565.2731058786,189887.6341502483,188094.82620535002,914600.5388007411,204061.8559769675,0.9708426780412497
Austria,2024,380175.58843670896,189583.7276763387,82109.67736971292,14942.791409862808,89523.40281464726,303772.3813700823,192025.8073451675,194075.3137431423,908593.9905844311,200234.8638321187,1.0384456866980671
Belgium,1995,287872.82708142727,150325.05554829433,61313.94588942622,6389.099464122337,61120.376421382825,377097.2421905633,138571.95137890472,145659.91373676644,641076.8273922965,136300.4364464012,1.0022380470053551
Belgium,1996,291677.0095738192,153517.91444559366,63347.52168032461,6063.330416103111,61790.78155249688,369301.19076033623,143066.4067679741,147874.66518153128,655045.1961183687,137288.02014387338,0.9548397400499079
Belgium,1997,302741.51294267754,156878.1474392909,64034.01609860053,6391.388741838715,66161.99047114875,374230.4298842149,149706.94031572802,152468.67831304038,668459.3468928082,137854.42122793404,0.9106755704567089
Belgium,1998,308679.4494922501,160792.89150187065,65115.713522180646,6354.623196151791,67231.96151790486,370920.8979155532,154137.3597006948,155088.98984500265,684326.2681287806,138666.35305373993,0.8993057375754117
