DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,1995,49.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,1996,51.4,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,1997,50.1,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,1998,49.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,1999,49.8,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2000,49.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2001,51.1,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2002,50.2,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2003,49.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2004,49.4,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2005,49.1,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2006,48.3,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2007,48.4,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2008,48.8,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2009,49.2,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2010,48.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2011,48.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2012,49.6,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2013,50.4,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2014,50.5,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2015,50.7,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2016,49.2,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2017,49.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2018,49.4,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2019,49.6,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2020,49.1,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2021,50.3,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2022,49.6,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2023,49.6,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Austria,2024,50.5,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,1995,48.1,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,1996,49.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,1997,49.5,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,1998,49.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,1999,49.8,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2000,49.3,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2001,49.6,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2002,49.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2003,49.2,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2004,49.1,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2005,49.1,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2006,49.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2007,48.6,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2008,49.7,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2009,49.1,b,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2010,49.8,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2011,50.6,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2012,51.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2013,52.7,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2014,52.2,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2015,51.4,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2016,50.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2017,51.5,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2018,51.4,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2019,49.7,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total general government revenue,Belgium,2020,49.4,,
