DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,1995,75.920,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,1996,75.911,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,1997,76.619,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,1998,79.446,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,1999,81.036,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2000,82.794,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2001,83.920,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2002,85.374,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2003,86.203,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2004,87.742,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2005,89.961,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2006,92.190,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2007,94.519,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2008,94.485,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2009,94.145,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2010,95.511,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2011,96.446,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2012,97.472,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2013,97.687,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2014,97.967,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2015,100.000,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2016,99.972,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2017,101.234,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2018,101.669,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2019,101.782,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2020,104.571,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2021,104.541,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2022,107.359,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2023,105.850,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Austria,2024,105.004,,
ESTAT:NAMA_10_LP_ULC(1.0),27/10/25 23:00:00,Annual,"Index, 2015=100",Real labour productivity per hour worked,Belgium,1995,82.702,,
