DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2013,2156.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2014,2139.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2015,2831.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2016,2732.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2017,3060.5,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2018,3102.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2019,3503.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2020,3459.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2021,3962.5,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2022,4501.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2023,5737.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Albania,2024,7367.7,p,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,1995,94318.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,1996,93703.7,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,1997,92638.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,1998,95895.3,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,1999,100117.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2000,103625.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2001,105856.6,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2002,107819.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2003,110244.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2004,112995.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2005,116601.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2006,122211.8,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2007,128353.5,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2008,135556.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2009,136247.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2010,138893.7,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2011,144408.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2012,150282.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2013,154501.7,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2014,158710.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2015,163631.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2016,170010.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2017,175965.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2018,184918.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2019,192668.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2020,192083.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2021,201416.4,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2022,217424.0,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2023,234855.2,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Austria,2024,252226.1,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bosnia and Herzegovina,2000,2779.9,,
ESTAT:NAMA_10_A10(1.0),15/11/25 11:00:00,Annual,"Current prices, million euro",Total - all NACE activities,Compensation of employees,Bosnia and Herzegovina,2001,2976.3,,
