DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,1995,3.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,1996,3.7,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,1997,3.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,1998,2.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,1999,2.9,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2000,2.7,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2001,2.5,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2002,2.7,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2003,2.6,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2004,2.5,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2005,3.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2006,3.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2007,3.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2008,3.3,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2009,3.4,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2010,3.3,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2011,3.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2012,3.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2013,3.1,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2014,3.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2015,3.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2016,3.0,,
ESTAT:GOV_10A_MAIN(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Gross fixed capital formation,Austria,2017,3.1,,
