DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,1995,2217.9,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,1996,2548.1,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,1997,1998.1,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,1998,2330.5,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,1999,3086.0,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2000,3893.5,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2001,4539.0,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2002,4789.5,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2003,5095.7,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2004,5956.3,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2005,6639.8,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2006,7293.6,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2007,8131.4,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2008,9058.0,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2009,8871.8,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2010,9117.0,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2011,9328.0,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2012,9528.7,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2013,9641.0,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2014,10020.0,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2015,10339.2,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2016,10835.1,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2017,11770.8,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2018,13016.9,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2019,13917.9,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2020,13379.5,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2021,15243.1,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2022,18068.1,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2023,21730.5,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Albania,2024,25000.7,p,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,1995,183629.2,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,1996,185944.9,,
ESTAT:NAMA_10_GDP(1.0),17/11/25 23:00:00,Annual,"Current prices, million euro",Gross domestic product at market prices,Austria,1997,186913.0,,
